[EXP] 0: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 1: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 2: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 3: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 4: [success_rate]: 0, [progress_rate]: 0.25, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 5: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 6: [success_rate]: 0, [progress_rate]: 0.25, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 7: [success_rate]: 0, [progress_rate]: 0.2, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 8: [success_rate]: 0, [progress_rate]: 0.2, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 9: [success_rate]: 0, [progress_rate]: 0.25, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 10: [success_rate]: 0, [progress_rate]: 0.25, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 11: [success_rate]: 0, [progress_rate]: 0.16666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 12: [success_rate]: 0, [progress_rate]: 0.16666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 13: [success_rate]: 0, [progress_rate]: 0.16666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 14: [success_rate]: 0, [progress_rate]: 0.2, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 15: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 16: [success_rate]: 0, [progress_rate]: 0.25, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 17: [success_rate]: 0, [progress_rate]: 0.1, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 18: [success_rate]: 0, [progress_rate]: 0.1, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 19: [success_rate]: 0, [progress_rate]: 0.25, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 20: [success_rate]: 0, [progress_rate]: 0.1978021978021978, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 21: [success_rate]: 0, [progress_rate]: 0.967032967032967, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 22: [success_rate]: 0, [progress_rate]: 0.3877551020408163, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 23: [success_rate]: 0, [progress_rate]: 0.17582417582417584, [grounding_acc]: 0.9333333333333333, [score_state]: [] 
[EXP] 24: [success_rate]: 0, [progress_rate]: 0.125, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 25: [success_rate]: 0, [progress_rate]: 0.22962962962962963, [grounding_acc]: 0.5333333333333333, [score_state]: [] 
[EXP] 26: [success_rate]: 0, [progress_rate]: 0.2857142857142857, [grounding_acc]: 0.9666666666666667, [score_state]: [] 
[EXP] 27: [success_rate]: 0, [progress_rate]: 0.24675324675324675, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 28: [success_rate]: 0, [progress_rate]: 0.2261904761904762, [grounding_acc]: 0.26666666666666666, [score_state]: [] 
[EXP] 29: [success_rate]: 0, [progress_rate]: 0.2, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 30: [success_rate]: 0, [progress_rate]: 0.15384615384615385, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 31: [success_rate]: 0, [progress_rate]: 0.1092436974789916, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 32: [success_rate]: 0, [progress_rate]: 0.19230769230769232, [grounding_acc]: 0.9333333333333333, [score_state]: [] 
[EXP] 33: [success_rate]: 0, [progress_rate]: 0.18461538461538463, [grounding_acc]: 0.7333333333333333, [score_state]: [] 
[EXP] 34: [success_rate]: 0, [progress_rate]: 0.25, [grounding_acc]: 0.9333333333333333, [score_state]: [] 
[EXP] 35: [success_rate]: 0, [progress_rate]: 0.30158730158730157, [grounding_acc]: 0.625, [score_state]: [] 
[EXP] 36: [success_rate]: 0, [progress_rate]: 0.4222222222222222, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 37: [success_rate]: 0, [progress_rate]: 0.38095238095238093, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 38: [success_rate]: 0, [progress_rate]: 0.35714285714285715, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 39: [success_rate]: 0, [progress_rate]: 0.5714285714285714, [grounding_acc]: 0.9333333333333333, [score_state]: [] 
