[EXP] 0: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.16666666666666666, [score_state]: [] 
[EXP] 1: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 0.0, [score_state]: [(18, 0.5)] 
[EXP] 2: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 3: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.16666666666666666, [score_state]: [] 
[EXP] 4: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 5: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 6: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 7: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 8: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 9: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 10: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 11: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 12: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 13: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 14: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 15: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 16: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 17: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 18: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 19: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.16666666666666666, [score_state]: [] 
[EXP] 20: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 21: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 22: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 23: [success_rate]: 0.0, [progress_rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [(1, 0.25)] 
[EXP] 24: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.16666666666666666, [score_state]: [] 
[EXP] 25: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 26: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 27: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 28: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 29: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 30: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 31: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 32: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 33: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 34: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 35: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 36: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 37: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 38: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.13333333333333333, [score_state]: [] 
[EXP] 39: [success_rate]: 0.0, [progress_rate]: 0.25, [grounding_acc]: 0.06666666666666667, [score_state]: [(1, 0.125), (4, 0.25)] 
[EXP] 40: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 41: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 42: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 43: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 44: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 45: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 46: [success_rate]: 0.0, [progress_rate]: 0.2, [grounding_acc]: 0.0, [score_state]: [(1, 0.2)] 
[EXP] 47: [success_rate]: 0.0, [progress_rate]: 0.14285714285714285, [grounding_acc]: 0.0, [score_state]: [(8, 0.14285714285714285)] 
[EXP] 48: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 49: [success_rate]: 0.0, [progress_rate]: 0.16666666666666666, [grounding_acc]: 0.0, [score_state]: [(0, 0.16666666666666666)] 
[EXP] 50: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 51: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 52: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 53: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 54: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 55: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 56: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 57: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 58: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 59: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 60: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 61: [success_rate]: 0.0, [progress_rate]: 0.16666666666666666, [grounding_acc]: 0.2, [score_state]: [(0, 0.16666666666666666)] 
[EXP] 62: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 63: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 64: [success_rate]: 0.0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 0.0, [score_state]: [(0, 0.3333333333333333)] 
[EXP] 65: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 66: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 67: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 68: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 69: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 70: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 71: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 72: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 73: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 74: [success_rate]: 0.0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 0.06666666666666667, [score_state]: [(1, 0.3333333333333333)] 
[EXP] 75: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 76: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 77: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 78: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.13333333333333333, [score_state]: [] 
[EXP] 79: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.1, [score_state]: [] 
