[EXP] 0: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 1: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 2: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 3: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 4: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 5: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 6: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 7: [success_rate]: 0, [progress_rate]: 0.2, [grounding_acc]: 0.6, [score_state]: [] 
[EXP] 8: [success_rate]: 0, [progress_rate]: 0.2, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 9: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 10: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 11: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 12: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 0.7666666666666667, [score_state]: [] 
[EXP] 13: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 14: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 15: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 16: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 17: [success_rate]: 0, [progress_rate]: 0.3, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 18: [success_rate]: 0, [progress_rate]: 0.6, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 19: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 20: [success_rate]: 0, [progress_rate]: 0.03296703296703297, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 21: [success_rate]: 0, [progress_rate]: 0.6703296703296703, [grounding_acc]: 0.6666666666666666, [score_state]: [] 
[EXP] 22: [success_rate]: 0, [progress_rate]: 0.3877551020408163, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 23: [success_rate]: 0, [progress_rate]: 0.21428571428571427, [grounding_acc]: 0.9333333333333333, [score_state]: [] 
[EXP] 24: [success_rate]: 0, [progress_rate]: 0.53125, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 25: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 26: [success_rate]: 0, [progress_rate]: 0.2857142857142857, [grounding_acc]: 0.5, [score_state]: [] 
[EXP] 27: [success_rate]: 0, [progress_rate]: 0.5102040816326531, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 28: [success_rate]: 0, [progress_rate]: 0.011904761904761904, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 29: [success_rate]: 0, [progress_rate]: 0.2, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 30: [success_rate]: 0, [progress_rate]: 0.2153846153846154, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 31: [success_rate]: 0, [progress_rate]: 0.1092436974789916, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 32: [success_rate]: 0, [progress_rate]: 0.5769230769230769, [grounding_acc]: 0.36363636363636365, [score_state]: [] 
[EXP] 33: [success_rate]: 0, [progress_rate]: 0.015384615384615385, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 34: [success_rate]: 0, [progress_rate]: 0.8472222222222222, [grounding_acc]: 0.13333333333333333, [score_state]: [] 
[EXP] 35: [success_rate]: 0, [progress_rate]: 0.30158730158730157, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 36: [success_rate]: 0, [progress_rate]: 0.6888888888888889, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 37: [success_rate]: 0, [progress_rate]: 0.38095238095238093, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 38: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 39: [success_rate]: 0, [progress_rate]: 0.5714285714285714, [grounding_acc]: 1.0, [score_state]: [] 
