[EXP] 0: [success_rate]: 0, [progress_rate]: 0.2857142857142857, [grounding_acc]: 0.9666666666666667, [score_state]: [] 
[EXP] 1: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 2: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 3: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 4: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 5: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 6: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 7: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 8: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 9: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 10: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 11: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 12: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 13: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 14: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 15: [success_rate]: 0, [progress_rate]: 0.125, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 16: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 17: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 18: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 19: [success_rate]: 0, [progress_rate]: 0, [grounding_acc]: 1.0, [score_state]: [] 
