[EXP] 0: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 0.8, [score_state]: [(1, 0.16666666666666666), (3, 0.3333333333333333), (4, 0.5)] 
[EXP] 1: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (6, 1.0)] 
[EXP] 2: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 0.8, [score_state]: [(1, 0.25), (3, 0.5), (4, 0.75)] 
[EXP] 3: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.3333333333333333), (3, 0.41666666666666663), (6, 0.6666666666666666)] 
[EXP] 4: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 0.9285714285714286, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (13, 0.8333333333333333)] 
[EXP] 5: [success_rate]: 0, [progress_rate]: 0.6, [grounding_acc]: 0.5555555555555556, [score_state]: [(1, 0.26666666666666666), (3, 0.4666666666666667), (8, 0.6)] 
[EXP] 6: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 7: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 8: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 9: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 10: [success_rate]: 0, [progress_rate]: 0.9333333333333333, [grounding_acc]: 0.875, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (7, 0.9333333333333333)] 
[EXP] 11: [success_rate]: 0, [progress_rate]: 0.6, [grounding_acc]: 0.7142857142857143, [score_state]: [(1, 0.19999999999999998), (4, 0.3333333333333333), (6, 0.6)] 
[EXP] 12: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 13: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 14: [success_rate]: 0, [progress_rate]: 0.2222222222222222, [grounding_acc]: 0.8, [score_state]: [(1, 0.2222222222222222)] 
[EXP] 15: [success_rate]: 0, [progress_rate]: 0.5833333333333334, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (5, 0.5833333333333334)] 
